food_id,name,name_nepali,category,calories,protein,carbohydrates,fat,fiber,sugar,sodium,serving_size_g,is_vegetarian,is_vegan,is_gluten_free,contains_nuts,contains_dairy,contains_gluten,contains_egg,is_nepali,data_source
144,Chocolate Syrup,Chocolate Syrup,universal_dish,270.0,2.8,38.0,12.0,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
145,California Roll,California Roll,japanese_dish,203.4,6.8,29.9,5.1,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
146,Spaghetti Carbonara,Spaghetti Carbonara,italian_dish,426.0,14.6,58.1,16.4,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
147,Caesar Salad,Caesar Salad,italian_dish,293.9,9.5,25.2,18.1,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
148,Chicken Tikka Masala,Chicken Tikka Masala,indian_dish,405.9,20.6,32.4,20.2,0,0,0,150,False,False,True,False,False,False,False,True,Calculated_from_USDA
149,Miso Soup,Miso Soup,japanese_dish,72.2,5.0,5.8,2.8,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
150,Chicken Biryani,Chicken Biryani,indian_dish,446.4,22.6,45.6,17.8,0,0,0,150,False,False,True,False,False,False,False,True,Calculated_from_USDA
151,Chicken Dum Biryani,Chicken Dum Biryani,indian_dish,446.4,22.6,45.6,17.8,0,0,0,150,False,False,True,False,False,False,False,True,Calculated_from_USDA
152,Vegetable Stir Fry,Vegetable Stir Fry,chinese_dish,180.3,5.5,23.8,6.9,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
153,Garlic Bread,Garlic Bread,italian_dish,219.7,3.5,28.6,10.1,0,0,0,152,True,True,True,False,False,False,False,True,Calculated_from_USDA
154,Beef Tacos,Beef Tacos,mexican_dish,290.0,17.0,26.4,14.0,0,0,0,150,False,False,True,False,False,False,False,True,Calculated_from_USDA
155,Tom Yum Soup,Tom Yum Soup,thai_dish,160.8,9.2,16.5,6.5,0,0,0,150,True,True,True,False,False,False,False,True,Calculated_from_USDA
